Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Dad,NFCDFF-02-JCMYMWUM5LY19WEL0GYC5DUCQQFE7C,Firefox PC (Cadmium),2022-08-24T11:22:48.950,2022-10-25T23:25:32.908,,,2022-08-24T11:22:48.950,2022-10-25T23:25:32.908,,,1970-01-01T00:00:00.000
Dad,NFCDFF-02-JHD2GE6MYN81F637FJ6FJ71AGNEY2Y,Firefox PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Dad,NFCDSF-PH-JA7WZVTQKNQLK3Q7TGFL32CKPFW9MT,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Dad,NFCDCH-02-HGX8XELWDY87V8QFU9W65E9FVQK8YW,Chrome PC (Cadmium),2022-01-10T13:54:05.795,2022-05-09T10:04:45.576,,,2022-01-10T13:54:05.795,2022-05-09T10:04:45.576,,,1970-01-01T00:00:00.000
Dad,CHGOEM2K5100000000000000000000000001569543,MStar PureTurnkey51 Changhong OEM2K Smart TV,,,,,,,,,1970-01-01T00:00:00.000
Dad,NFCDFF-02-J6LN7DPJYWGV55VUDTF4T1JVHN8NKJ,Firefox PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Dad,NFCDFF-02-J4UCRP2H4J2E8TK8LTDERKYJ154XHK,Firefox PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE12=1-99C5CE79D291C1D11677DCBB499E46680D41A36B2883EAF67F29D9E48BACDD2D,Apple iPhone 11,2022-02-12T04:03:31.392,2022-03-02T10:00:00.326,,,2022-02-12T04:03:31.392,2022-03-02T10:00:00.326,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE10=1-E090D203C6A51D1D0CC0EC82B4E8ED688A140655D5DF58BB8899690F49CD7DEA,Apple iPhone 8 (CDMA),2021-12-28T10:33:07.151,2021-12-28T10:33:07.151,,,2021-12-28T10:33:07.151,2021-12-28T10:33:07.151,,,1970-01-01T00:00:00.000
Dad,NFCDCH-02-HKJ6HFQ3NL13F5WWDVKVWWWY2KEA07,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE10=1-D40C879FAFC046E71EF3814651A0F26B5A3733902EAB4731F5FC4CE3F6FE9FF1,Apple iPhone 8 (CDMA),2020-10-18T10:30:07.279,2020-10-19T11:27:24.740,,,2020-10-18T10:30:07.279,2020-10-19T11:27:24.740,,,1970-01-01T00:00:00.000
Dad,NFCDFF-02-EY83TNRFET999F7V64XJC9YP1M4V7N,Firefox PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE10=1-4EBBD2D4A147C3BA9874CE2FF765588F7978ED498F08DFA8BE63AC80EC512078,Apple iPhone 8 (CDMA),,,,,,,,,1970-01-01T00:00:00.000
Talia,NFCDCH-02-KQGP9037NC9AX70PMF6FRQQUCV0K4C,Chrome PC (Cadmium),2023-12-13T04:56:57.248,2025-06-21T13:44:29.772,2025-06-21T12:49:11.056,2025-06-21T12:49:17.247,2023-12-13T04:56:57.248,2025-06-21T13:44:29.772,2025-06-21T12:49:11.056,2025-06-21T12:49:17.247,
Mum,NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,Google Chromecast Chromecast with GTV 1080P Set Top Box,2023-10-02T10:14:18.423,2025-06-21T13:04:37.820,2023-10-02T10:14:18.423,2025-06-21T13:04:37.820,2023-10-06T10:32:07.040,2025-06-21T13:04:37.820,2023-10-06T10:32:07.040,2025-06-21T13:04:37.820,
