Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-04-18,2022-04-19,2022-05-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2022-05-19
2022-04-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2022-04-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2022-04-18,2022-04-19,2022-05-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2022-05-19
2022-03-18,2022-03-19,2022-04-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2022-04-19
2022-03-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2022-03-18,2022-03-19,2022-04-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2022-04-19
2022-03-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2022-02-18,2022-02-19,2022-03-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2022-03-19
2022-02-18,2022-02-19,2022-03-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2022-03-19
2022-02-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2022-02-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2022-01-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,19.99,SALE,NEW,,AU,
2022-01-18,2022-01-19,2022-02-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,19.99,AUD,1.82,19.99,SALE,APPROVED,SETTLED,AU,2022-02-19
2022-01-18,2022-01-19,2022-02-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,19.99,AUD,1.82,19.99,SALE,NEW,SETTLED,AU,2022-02-19
2022-01-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,19.99,SALE,APPROVED,,AU,
2021-12-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,19.99,SALE,APPROVED,,AU,
2021-12-18,2021-12-19,2022-01-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,19.99,AUD,1.82,19.99,SALE,NEW,SETTLED,AU,2022-01-19
