Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Dad,iOS,browseTitles,,,2025-06-07 13:17:36
Dad,iOS,myListGallery,,,2025-06-07 13:17:36
Dad,iOS,profilesGate,,,2025-06-07 13:17:24
Dad,iOS,browseTitles,,,2025-06-07 13:17:24
Dad,iOS,profilesGate,,,2025-06-07 13:17:23
Dad,iOS,showDetails,,,2025-06-07 01:12:22
Dad,iOS,myListGallery,,,2025-06-07 01:12:22
Dad,iOS,myListGallery,,,2025-06-07 01:12:19
Dad,iOS,showDetails,,,2025-06-07 01:12:19
Dad,iOS,myListGallery,,,2025-06-07 01:11:58
Dad,iOS,showDetails,,,2025-06-07 01:11:58
Dad,iOS,myListGallery,,,2025-06-07 01:11:52
Dad,iOS,showDetails,,,2025-06-07 01:11:52
Dad,iOS,browseTitles,,,2025-06-07 01:11:46
Dad,iOS,myListGallery,,,2025-06-07 01:11:46
Dad,iOS,profilesGate,,,2025-06-07 01:11:30
Dad,iOS,browseTitles,,,2025-06-07 01:11:30
Dad,iOS,profilesGate,,,2025-06-07 01:11:28
Dad,iOS,profilesGate,,,2025-06-06 05:48:07
Dad,iOS,profilesGate,,,2025-06-06 05:48:07
Dad,iOS,browseTitles,,,2025-06-06 05:48:07
Dad,www,playback,/browse?jbv=81024821,/watch/81450502?trackId=14170045&tctx=1%2C1%2Cd62928cf-46ef-4ce9-9dc4-22eb91be1c6e-85232536%2CNES_44BA4C239939051A199F8B5BEF9CAA-7DA6E02492B0D5-F2925F3EA1_p_1749173877273%2C%2C%2C%2C%2C%2CVideo%3A81024821%2CdetailsPagePlayButton,2025-06-06 02:24:30
Dad,www,playback,/watch/81450502?trackId=14170045&tctx=1%2C1%2Cd62928cf-46ef-4ce9-9dc4-22eb91be1c6e-85232536%2CNES_44BA4C239939051A199F8B5BEF9CAA-7DA6E02492B0D5-F2925F3EA1_p_1749173877273%2C%2C%2C%2C%2C%2CVideo%3A81024821%2CdetailsPagePlayButton,/watch/81450503?trackId=155573560,2025-06-06 02:24:30
Dad,www,browseTitles,/browse,/browse?jbv=81024821,2025-06-06 01:42:03
Dad,www,playback,/browse?jbv=81024821,/watch/81450502?trackId=14170045&tctx=1%2C1%2Cd62928cf-46ef-4ce9-9dc4-22eb91be1c6e-85232536%2CNES_44BA4C239939051A199F8B5BEF9CAA-7DA6E02492B0D5-F2925F3EA1_p_1749173877273%2C%2C%2C%2C%2C%2CVideo%3A81024821%2CdetailsPagePlayButton,2025-06-06 01:42:03
Dad,www,browseTitles,,/browse,2025-06-06 01:41:45
Dad,www,browseTitles,/browse,/browse?jbv=81024821,2025-06-06 01:41:45
Dad,www,profilesGate,,/browse,2025-06-06 01:37:57
Dad,www,browseTitles,,/browse,2025-06-06 01:37:57
Dad,tvui,profilesGate,,,2025-06-05 10:55:25
Dad,tvui,search,,,2025-06-05 10:55:25
Dad,tvui,browseTitles,,,2025-06-05 10:55:23
Dad,tvui,search,,,2025-06-05 10:55:23
Dad,tvui,movieDetails,,,2025-06-05 10:55:13
Dad,tvui,browseTitles,,,2025-06-05 10:55:13
Dad,tvui,profilesGate,,,2025-06-05 10:55:10
Dad,tvui,movieDetails,,,2025-06-05 10:55:10
Dad,tvui,profilesGate,,,2025-06-05 10:55:08
Dad,tvui,movieDetails,,,2025-06-05 08:59:01
Dad,tvui,profilesGate,,,2025-06-05 08:59:01
Dad,tvui,playback,,,2025-06-05 08:29:01
Dad,tvui,movieDetails,,,2025-06-05 08:29:01
Dad,tvui,postPlay,,,2025-06-05 08:18:51
Dad,tvui,playback,,,2025-06-05 08:18:51
Dad,tvui,playback,,,2025-06-05 08:18:50
Dad,tvui,postPlay,,,2025-06-05 08:18:50
Dad,tvui,movieDetails,,,2025-06-05 08:07:31
Dad,tvui,playback,,,2025-06-05 08:07:31
Dad,tvui,playback,,,2025-06-05 08:07:28
Dad,tvui,movieDetails,,,2025-06-05 08:07:28
Dad,tvui,movieDetails,,,2025-06-05 08:07:27
Dad,tvui,playback,,,2025-06-05 08:07:27
Dad,tvui,playback,,,2025-06-05 08:05:30
Dad,tvui,movieDetails,,,2025-06-05 08:05:30
Dad,tvui,playback,,,2025-06-05 07:17:27
Dad,tvui,postPlay,,,2025-06-05 07:17:27
Dad,tvui,postPlay,,,2025-06-05 07:17:21
Dad,tvui,playback,,,2025-06-05 07:17:21
Dad,tvui,movieDetails,,,2025-06-05 07:16:02
Dad,tvui,playback,,,2025-06-05 07:16:02
Dad,tvui,playback,,,2025-06-05 07:13:31
